date_time	Lat	Long	PBLH	Surface_elevation	DN_Flag	Day/Night
2012-01-10 08:06:48.904542	29.249674672172183	79.72524452209473	1.0145741016160517	1.2086071413719939	0.0	Day
2012-01-10 08:06:57.236800	29.751163221540907	79.59513409932454	2.1254939600780958	1.5358511911971229	0.0	Day
2012-01-13 20:43:04.972200	29.250256947108678	79.89580535888672	0.34095842675084165	0.9854880958972942	1.0	Night
2012-01-13 20:42:56.665104	29.750224724501194	80.02553731952598	0.6795001811163868	1.424688625835373	1.0	Night
2012-02-11 08:06:48.536394	29.25119385265169	79.7707610811506	0.5084577287281198	1.1833035709957282	0.0	Day
2012-02-11 08:06:56.843400	29.75038361692143	79.64102456098546	2.3096705110754794	1.5093952067597898	0.0	Day
2012-02-14 20:43:13.459000	29.250085285731725	79.90894222259521	0.4218562263995409	1.020029761251949	1.0	Night
2012-02-14 20:43:05.126200	29.74999174617586	80.03888693309966	4.051194916834079	1.4088988059333392	1.0	Night
2012-02-27 08:07:12.498400	29.250054490780403	79.6985156578932	4.7093383329223375	1.2056706627150495	0.0	Day
2012-02-27 08:07:20.805948	29.74928593635559	79.5688571475801	3.642639169558173	1.6750892861967994	0.0	Day
2012-03-01 20:43:33.313206	29.249776657469972	79.85589211286899	0.6145115507443151	1.0086287428697427	1.0	Night
2012-03-01 20:43:24.981400	29.750117397872653	79.98603613136788	0.6219432865815051	1.486242600446622	1.0	Night
2012-03-30 08:06:58.939096	29.249951805387223	79.82304945446197	0.6891209476494364	1.2446130954970915	0.0	Day
2012-03-30 08:07:07.271200	29.750022093454998	79.69297427222843	0.4425662435990356	1.5816309473344259	0.0	Day
2012-04-02 20:43:23.762000	29.249761444365905	79.9693555546378	0.5378035006007393	1.1181496958175818	1.0	Night
2012-04-02 20:43:15.454541	29.74927240326291	80.09923144749233	0.5590370416064703	1.3372500020833242	1.0	Night
2012-04-15 08:07:21.508400	29.249295811453266	79.76861841807109	3.35442088751825	1.1811317349979265	0.0	Day
2012-04-15 08:07:29.815829	29.749283847354707	79.63872428167434	2.4017889320052097	1.5053452388161705	0.0	Day
2012-04-18 20:43:41.968000	29.249755608107517	79.91808689140274	0.5518465755496198	1.0503892222207463	1.0	Night
2012-04-18 20:43:33.660000	29.748950560887653	80.04761632283528	0.9940154886627128	1.4166488101085026	1.0	Night
2012-05-01 08:07:21.971156	29.249666531880695	79.78421256655739	4.124695145525038	1.2147023791358584	0.0	Day
2012-05-01 08:07:30.303200	29.75051212310791	79.6543299811227	4.0972149709816135	1.5442738085985184	0.0	Day
2012-05-04 20:43:37.679400	29.250592299870082	79.94067387353806	0.7784001097260487	1.0687619087596734	1.0	Night
2012-05-04 20:43:29.371484	29.75070001979074	80.07033721558348	0.49484714349274506	1.4119999986922669	1.0	Night
2012-06-02 08:06:57.848600	29.250384724782613	79.85535371517707	2.185682318368536	1.104149707330915	0.0	Day
2012-06-02 08:07:06.130890	29.74902116467139	79.72629359810652	1.2127853621935059	1.5691796391310093	0.0	Day
2012-06-05 20:43:08.722664	29.2497038241632	80.00578079680483	4.177255658165156	1.1254371287758478	1.0	Night
2012-06-05 20:43:00.415400	29.74885048185076	80.13514450618199	3.5796036149231005	1.1557321445572943	1.0	Night
2012-06-18 08:06:57.820045	29.249500720086925	79.82828197365036	0.45019786030857145	1.2158383201517744	0.0	Day
2012-06-18 08:07:06.127200	29.749755904788064	79.69880272093273	4.296913931678448	1.5926071405410767	0.0	Day
2012-06-21 20:43:17.016000	29.249602117938196	79.94543347387257	2.5519601567732004	1.0778143718214093	1.0	Night
2012-06-21 20:43:08.708155	29.74947488875616	80.07488827478318	2.49569065645448	1.3752619063570386	1.0	Night
2012-07-04 08:06:59.013813	29.24996709538077	79.79841673160027	0.6005072852005502	1.2672155623485941	0.0	Day
2012-07-04 08:07:07.320799	29.74902766091483	79.66912996201287	0.9523603995552377	1.5694107143651872	0.0	Day
2012-07-07 20:43:15.472800	29.2502863407135	79.9295710154942	0.8974211132417189	1.0641011922132402	1.0	Night
2012-07-07 20:43:07.165578	29.750607930257647	80.05909445756923	3.529405880203571	1.4566886228715588	1.0	Night
2012-07-23 20:42:57.051548	29.249261616232868	79.98574034182612	2.208065497748385	1.105233534992098	1.0	Night
2012-07-23 20:42:48.744562	29.749554713567097	80.11511943453834	0.39735524959599466	1.2692440521149408	1.0	Night
